Date,SP500_Close,SP500_Volume,VIX,Dist_MA50,Dist_MA200,Dist_52w_High,RSI,Dist_Local_Min,VIX_Ratio,VIX_Trend_20d,SP500_Trend_20d,Realized_Vol_10d,Yield_Curve,Yield_Curve_Change,Jobless_Ratio,Credit_Spread,Dollar_Change,Fed_Rate,label_daily,Return_1w,Return_4w,Volume_Ratio,label,Phase,event_name,category,week_relative
2000-01-07,1441.469970703125,5343800000,25.015999603271485,0.023057038444737245,0.0682352080904559,-0.018907625861408883,56.06670608627097,0.030048109529189904,1.100789266326998,0.21039697690117584,1.0829529267504716,0.2088001454030072,0.21200000000000002,0.03,1.0137296724054163,4.787999999999999,-0.004680122321615188,5.45,1.0,-0.018907625861408928,0.01724011387623703,1.2477092709914541,1,1,Dotcom Crash,Grey Swan,0
2000-01-14,1465.1500244140625,5169700000,21.683999633789064,0.03281071225838037,0.0826970763081608,-0.0027905227741619873,52.02864079282676,0.046969443344144816,0.9635155187374818,0.07525258946239458,0.25939179614071045,0.27269316144789024,0.22400000000000003,0.09,1.055503196220747,4.772,-0.0002479307121836527,5.45,0.0,0.016427712121804827,0.031047897797781276,1.1878118151053283,0,1,Dotcom Crash,Grey Swan,1
2000-01-21,1441.3599853515625,4455000000,21.447499752044678,0.011437539717629518,0.06319964359049768,-0.018982484021396972,43.40879573454821,0.029969516006081273,0.9630497894594483,-0.10433273243724903,-0.4379234830239752,0.21261030337217718,0.29000000000000004,0.16,1.0217281463277395,4.7475000000000005,-0.003318446327918112,5.45,0.0,-0.01623727172377043,-0.011643362224664,0.9784007868933826,0,1,Dotcom Crash,Grey Swan,2
2000-01-28,1360.1600341796875,5532100000,23.960000228881835,-0.04566205878193525,0.0023192330919077266,-0.07424874311404628,29.455775808625546,0.0,1.076300515075997,-0.14990524062536761,-2.104058516653017,0.1881490906870092,0.202,-0.12000000000000001,1.0028248865467462,4.808,0.01972373261375049,5.45,0.0,-0.05633564966219695,-0.07424874311404628,1.1849149897229438,0,1,Dotcom Crash,Grey Swan,3
2000-02-04,1424.3699951171875,5205000000,23.014000701904298,-0.00031499173926099105,0.04788883711153539,-0.030546200362642505,39.22531404531128,0.04720765154390456,1.0286324868791945,0.02970833226254056,-2.9877524928042973,0.2547585934458628,-0.022,-0.32,1.006190148809317,4.892,0.026776011101636854,5.73,0.0,0.047207651543904605,-0.011862873270676921,1.110806110714077,0,1,Dotcom Crash,Grey Swan,4
2000-02-11,1387.1199951171875,5100800000,22.886000061035155,-0.02718867495751281,0.019328972744018295,-0.055899271657520844,46.511730987785874,0.01982116828903854,1.0218301632801592,0.07879403250558026,-1.979934485872921,0.23305011931823555,-0.05800000000000001,-0.25,1.0954100305242291,4.802,0.02587396468157399,5.73,0.0,-0.02615191286512275,-0.05325736477264875,1.099082652327683,0,1,Dotcom Crash,Grey Swan,5
2000-02-18,1346.0899658203125,5115300000,23.995999908447267,-0.05377770736160476,-0.011595020092082053,-0.08382510408690659,36.993821977636756,0.0,1.0600417217096172,0.02859547521834932,-0.9375502966400809,0.1950767787246907,-0.10200000000000001,-0.48,1.045846050573662,4.858,0.027579213456240703,5.73,0.0,-0.0295792933857959,-0.06609731121959284,1.0548018895621205,0,1,Dotcom Crash,Grey Swan,6
2000-02-25,1333.3599853515625,4253900000,24.832499980926514,-0.05950134813372638,-0.02092346411631438,-0.09248937529245363,26.836336883077166,0.0,1.0845261496743521,0.05429131357293356,-3.3217588037476684,0.21490737555065942,-0.1575,-0.26,0.9835211419250146,5.0175,0.0247052095925413,5.73,1.0,-0.009457005692032117,-0.019703599690229168,0.8470614004520156,1,2,Dotcom Crash,Grey Swan,7
2000-03-03,1409.1700439453125,5853800000,21.99199981689453,-0.002932507500600305,0.034127513328729736,-0.04089158145631275,55.80845108828469,0.05685640744180681,0.9560058900356628,0.08229470962868561,-3.3001029796170465,0.21771417424635153,-0.11400000000000002,-0.039999999999999994,0.9746705480822694,5.088,0.013864112051010569,5.85,0.0,0.056856407441806756,-0.010671350298013249,1.1510313231216942,0,2,Dotcom Crash,Grey Swan,8
2000-03-10,1395.0699462890625,5807900000,22.615999603271483,-0.007821849137516422,0.02248409951533573,-0.050488380950102094,60.93400855876576,0.04628154558067763,0.9801917912419535,-0.09677595669165631,0.26926893650137185,0.22933648759597092,-0.126,-0.16,0.9960533261568216,5.152,0.005971411827655482,5.85,0.0,-0.010005958980488505,0.005731264201986663,1.1243690076904835,0,2,Dotcom Crash,Grey Swan,9
